"id";"siglaPartido";"nome";"codOcorrencia";"tituloOcorrencia";"dataOcorrencia";"idPartidoDestino";"siglaPartidoDestino";"descricaoOcorrencia";
36868;"PLP";"Partido Liberal Progressista";2;"Extinção";;36868;"PLP";;
36887;"PMB";"Partido da Mulher Brasileira";1;"Criação";"2015-09-29";36887;"PMB";"Data de registro definitivo pelo TSE. Fundação extraoficial em 13/09/2008.";
36799;"PMB*";"Partido Municipalista Brasileiro";2;"Extinção";;36799;"PMB*";;
36800;"PMDB";"Partido do Movimento Democrático Brasileiro";1;"Criação";"1981-06-30 00:00:00";36800;"PMDB";"Sucessor extra-oficial do MDB (36774). Data de registro oficial. Fundação extra-oficial em 1980-01-15.";
36800;"PMDB";"Partido do Movimento Democrático Brasileiro";3;"Alteração Nome";"2018-05-21 11:16:00.000";36899;"MDB";;
36801;"PMN";"Partido da Mobilização Nacional";1;"Criação";"1985-07-10";36801;"PMN";"Data de registro provisório no TSE. Registro definitivo em 25/10/1990.";
36802;"PMR";"Partido Municipalista Renovador";1;"Criação";"2005-08-25";36802;"PMR";"Data de registro definitivo pela Resolução TSE 22072. Fundação extraoficial em 16/12/2003.";
36802;"PMR";"Partido Municipalista Renovador";3;"Alteração Nome";"2009-08-13 00:00:00.000";36815;"PRB";"Novo estatuto aprovado pela Resolução TSE 23104";
36803;"PN";"Partido Nilista";1;"Criação";;36803;"PN";;
36803;"PN";"Partido Nilista";2;"Extinção";;36803;"PN";;
36869;"PN*";"Partido Nacionalista";1;"Criação";"1985-05-15 00:00:00.000";36869;"PN*";"Data aproximada de registro provisório pelo TSE. Não chegou a obter registro definitivo.";
36869;"PN*";"Partido Nacionalista";2;"Extinção";"1990-08-15 00:00:00.000";36869;"PN*";"Data aproximada de cancelamento de registro pelo TSE.";
36804;"PNA";"Partido Nacional de Alagoas";2;"Extinção";;36804;"PNA";;
36805;"PNC";"Partido Nacional do Consumidor";1;"Criação";;36805;"PNC";;
36805;"PNC";"Partido Nacional do Consumidor";2;"Extinção";;36805;"PNC";;
36870;"PNC*";"Partido Nacional Classista";1;"Criação";"1945-10-04 00:00:00.000";36870;"PNC*";"Registro provisório pela Resolução TSE 228.";
36870;"PNC*";"Partido Nacional Classista";2;"Extinção";"1948-05-03 00:00:00.000";36870;"PNC*";"Cancelamento do registro provisório pela Resolução TSE 2852";
36806;"PNE";"Partido Nacional Evangélico";1;"Criação";;36806;"PNE";;
36806;"PNE";"Partido Nacional Evangélico";2;"Extinção";;36806;"PNE";;
36871;"PNE*";"Partido Nacional Evolucionista";1;"Criação";;36871;"PNE*";;
36871;"PNE*";"Partido Nacional Evolucionista";2;"Extinção";;36871;"PNE*";;
36807;"PNI";"Não Informado";2;"Extinção";;36807;"PNI";;
36892;"PNPD";"Partido Nacional Popular Democrático";1;"Criação";"1945-09-11";36892;"PNPD";"Data do registro provisório pela Resolução TSE 179";
36892;"PNPD";"Partido Nacional Popular Democrático";2;"Extinção";"1948-05-03 00:00:00.000";36892;"PNPD";"Cancelamento do registro provisório pela Resolução TSE 2856";
36808;"PNS";"Partido Nacional Socialista";1;"Criação";"1933-01-15";36808;"PNS";"Data aproximada de criação";" derivado do Partido Social Nacionalista do Piauí"
36808;"PNS";"Partido Nacional Socialista";2;"Extinção";"1937-12-02 00:00:00.000";36808;"PNS";"Extinto pelo Decreto 37/1937";
36896;"PODE";"Podemos";1;"Criação";"2017-05-19 00:00:00.000";36896;"PODE";"Resultante da troca de nome do PTN.";
36873;"POT";"Partido Orientador Trabalhista";1;"Criação";"1945-10-04 00:00:00.000";36873;"POT";"Data do registro provisório pela Resolução TSE 229. Registro definitivo em 01/10/1946, pela Resolução TSE 1125";
36873;"POT";"Partido Orientador Trabalhista";2;"Extinção";"1951-10-12 00:00:00.000";36873;"POT";"Registro cancelado por insuficiência de votos nas eleições de 1950";
37903;"PP";"Progressistas";1;"Criação";"2018-12-11 10:29:00.000";37903;"PP";;
36884;"PP*";"Partido Popular";1;"Criação";"1980-02-12 00:00:00.000";36884;"PP*";"Data de criação: Folha de S. Paulo";
36884;"PP*";"Partido Popular";5;"Incorporação";"1982-03-16 00:00:00.000";36800;"PMDB";"Segundo Wikipedia, TSE ratificou a fusão ao PMDB em 02/03/1982";
36809;"PP**";"Partido Progressista";1;"Criação";"2003-04-04";36809;"PP**";"Resultante da troca de nome do PPB";
36809;"PP**";"Partido Progressista";3;"Alteração Nome";"2018-12-11 10:29:00.000";37903;"PP";"Mudança de nome para Progressistas, mantendo a sigla PP";
;"PP***";"Partido Progressista";1;"Criação";"1993-05-27 00:00:00";;"PP***";"Resultante da fusão de PST* e PTR";
;"PP***";"Partido Progressista";4;"Fusão";"1995-09-14 00:00:00";36811;"PPB";"Juntou-se ao PPR para formar o PPB";
36810;"PPA";"Partido Popular do Acre";2;"Extinção";;36810;"PPA";;
36811;"PPB";"Partido Progressista Brasileiro";1;"Criação";"1995-09-14 00:00:00";36811;"PPB";"Resultado de fusão entre PPR e PP (36809).";
36811;"PPB";"Partido Progressista Brasileiro";3;"Alteração Nome";"2003-04-04 00:00:00.000";36809;"PP**";;
