idTabela;codTipoOrgao;codOrgao;txtNome;txtSigla;datCriacao;datExtincao;docCriacao;urlDocCriacao;codProposicao
;2;;Comissão de Fiscalização Financeira e Tomada de Contas;;1972-12-01;1986-10-02;RES 30/1972;https://www2.camara.leg.br/legin/fed/rescad/1970-1979/resolucaodacamaradosdeputados-30-31-outubro-1972-320276-publicacaooriginal-1-pl.html;235377
;2;;Comissão de Minas e Energia;;1972-12-01;1989-02-24;RES 30/1972;https://www2.camara.leg.br/legin/fed/rescad/1970-1979/resolucaodacamaradosdeputados-30-31-outubro-1972-320276-publicacaooriginal-1-pl.html;235377
;2;212;Comissão de Redação;CR;1972-12-01;1989-02-24;RES 30/1972;https://www2.camara.leg.br/legin/fed/rescad/1970-1979/resolucaodacamaradosdeputados-30-31-outubro-1972-320276-publicacaooriginal-1-pl.html;235377
;2;;Comissão de Relações Exteriores;;1972-12-01;1989-02-24;RES 30/1972;https://www2.camara.leg.br/legin/fed/rescad/1970-1979/resolucaodacamaradosdeputados-30-31-outubro-1972-320276-publicacaooriginal-1-pl.html;235377
;2;238;Comissão de Saúde;CS;1972-12-01;1989-02-24;RES 30/1972;https://www2.camara.leg.br/legin/fed/rescad/1970-1979/resolucaodacamaradosdeputados-30-31-outubro-1972-320276-publicacaooriginal-1-pl.html;235377
;2;92;Comissão de Segurança Nacional;;1972-12-01;1989-02-24;RES 30/1972;https://www2.camara.leg.br/legin/fed/rescad/1970-1979/resolucaodacamaradosdeputados-30-31-outubro-1972-320276-publicacaooriginal-1-pl.html;235377
;2;;Comissão de Serviço Público;;1972-12-01;1989-02-24;RES 30/1972;https://www2.camara.leg.br/legin/fed/rescad/1970-1979/resolucaodacamaradosdeputados-30-31-outubro-1972-320276-publicacaooriginal-1-pl.html;235377
;2;;Comissão de Trabalho e Legislação Social;;1972-12-01;1989-02-24;RES 30/1972;https://www2.camara.leg.br/legin/fed/rescad/1970-1979/resolucaodacamaradosdeputados-30-31-outubro-1972-320276-publicacaooriginal-1-pl.html;235377
;2;;Comissão de Transportes;;1972-12-01;1989-02-24;RES 30/1972;https://www2.camara.leg.br/legin/fed/rescad/1970-1979/resolucaodacamaradosdeputados-30-31-outubro-1972-320276-publicacaooriginal-1-pl.html;235377
;2;;Comissão de Agricultura e Política Rural;;1964-03-26;1972-11-30;Res. Mesa 22/1/1964 – RICD;https://www2.camara.leg.br/legin/fed/resmes_sn/1960-1969/resolucaodamesa-4-22-janeiro-1964-321291-publicacaooriginal-1-cd.html;
;2;;Comissão de Constituição e Justiça;;1964-03-26;1972-11-30;Res. Mesa 22/1/1964 – RICD;https://www2.camara.leg.br/legin/fed/resmes_sn/1960-1969/resolucaodamesa-4-22-janeiro-1964-321291-publicacaooriginal-1-cd.html;
;2;97;Comissão de Economia;CE;1964-03-26;1972-11-30;Res. Mesa 22/1/1964 – RICD;https://www2.camara.leg.br/legin/fed/resmes_sn/1960-1969/resolucaodamesa-4-22-janeiro-1964-321291-publicacaooriginal-1-cd.html;
;2;;Comissão de Educação e Cultura;;1964-03-26;1972-11-30;Res. Mesa 22/1/1964 – RICD;https://www2.camara.leg.br/legin/fed/resmes_sn/1960-1969/resolucaodamesa-4-22-janeiro-1964-321291-publicacaooriginal-1-cd.html;
;2;;Comissão de Finanças;;1964-03-26;1972-11-30;Res. Mesa 22/1/1964 – RICD;https://www2.camara.leg.br/legin/fed/resmes_sn/1960-1969/resolucaodamesa-4-22-janeiro-1964-321291-publicacaooriginal-1-cd.html;
;2;;Comissão de Fiscalização Financeira e Tomada de Contas;;1964-03-26;1972-11-30;Res. Mesa 22/1/1964 – RICD;https://www2.camara.leg.br/legin/fed/resmes_sn/1960-1969/resolucaodamesa-4-22-janeiro-1964-321291-publicacaooriginal-1-cd.html;
;2;88;Comissão de Legislação Social;CLS;1964-03-26;1972-11-30;Res. Mesa 22/1/1964 – RICD;https://www2.camara.leg.br/legin/fed/resmes_sn/1960-1969/resolucaodamesa-4-22-janeiro-1964-321291-publicacaooriginal-1-cd.html;
;2;;Comissão de Minas e Energia;;1964-03-26;1972-11-30;Res. Mesa 22/1/1964 – RICD;https://www2.camara.leg.br/legin/fed/resmes_sn/1960-1969/resolucaodamesa-4-22-janeiro-1964-321291-publicacaooriginal-1-cd.html;
;2;336;Comissão de Orçamento;CO;1964-03-26;1972-11-30;Res. Mesa 22/1/1964 – RICD;https://www2.camara.leg.br/legin/fed/resmes_sn/1960-1969/resolucaodamesa-4-22-janeiro-1964-321291-publicacaooriginal-1-cd.html;
;2;;Comissão de Redação;;1964-03-26;1972-11-30;Res. Mesa 22/1/1964 – RICD;https://www2.camara.leg.br/legin/fed/resmes_sn/1960-1969/resolucaodamesa-4-22-janeiro-1964-321291-publicacaooriginal-1-cd.html;
;2;;Comissão de Relações Exteriores;;1964-03-26;1972-11-30;Res. Mesa 22/1/1964 – RICD;https://www2.camara.leg.br/legin/fed/resmes_sn/1960-1969/resolucaodamesa-4-22-janeiro-1964-321291-publicacaooriginal-1-cd.html;
;2;;Comissão de Saúde;;1964-03-26;1972-11-30;Res. Mesa 22/1/1964 – RICD;https://www2.camara.leg.br/legin/fed/resmes_sn/1960-1969/resolucaodamesa-4-22-janeiro-1964-321291-publicacaooriginal-1-cd.html;
;2;;Comissão de Segurança Nacional;;1964-03-26;1972-11-30;Res. Mesa 22/1/1964 – RICD;https://www2.camara.leg.br/legin/fed/resmes_sn/1960-1969/resolucaodamesa-4-22-janeiro-1964-321291-publicacaooriginal-1-cd.html;
;2;;Comissão de Serviço Público;;1964-03-26;1972-11-30;Res. Mesa 22/1/1964 – RICD;https://www2.camara.leg.br/legin/fed/resmes_sn/1960-1969/resolucaodamesa-4-22-janeiro-1964-321291-publicacaooriginal-1-cd.html;
;2;90;Comissão de Transportes, Comunicações e Obras Públicas;CTCOP;1964-03-26;1972-11-30;Res. Mesa 22/1/1964 – RICD;https://www2.camara.leg.br/legin/fed/resmes_sn/1960-1969/resolucaodamesa-4-22-janeiro-1964-321291-publicacaooriginal-1-cd.html;
;2;145;Comissão do Distrito Federal;CDF;1964-03-26;1972-11-30;Res. Mesa 22/1/1964 – RICD;https://www2.camara.leg.br/legin/fed/resmes_sn/1960-1969/resolucaodamesa-4-22-janeiro-1964-321291-publicacaooriginal-1-cd.html;
